Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Main Supervising District,Release type: Paroled to Detainer united,Part of Target Population,Recidivism - Return to Prison numeric
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,C Felony,Drug,8JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Violent,8JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,4JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Drug,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,8JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,5JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,5JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,7JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,7JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,5JD,Parole,Yes,1
